iteration,train_split,mae,mse
1,[    0     1     2 ... 12610 12611 12612],11.370328940488637,210.32368432413315
2,[    0     1     2 ... 12610 12611 12612],11.485539577696612,220.6302335151636
3,[    0     1     3 ... 12610 12611 12612],11.87752930862923,249.9472073821638
4,[    0     1     2 ... 12610 12611 12612],11.17298932187448,201.55003965674192
5,[    1     2     3 ... 12610 12611 12612],11.278143807363419,207.73802418189314
6,[    0     1     2 ... 12610 12611 12612],11.478485801340033,231.13626519980917
7,[    0     1     2 ... 12610 12611 12612],11.477594420683609,224.22763952650226
8,[    0     2     3 ... 12608 12609 12610],11.225742360811886,229.31179589527278
9,[    0     1     2 ... 12610 12611 12612],11.625927147654552,235.0607752926201
10,[    0     1     2 ... 12609 12611 12612],11.243738749462796,211.41748497122677
